Date,^GDAXI,^GSPC,^N225
2020-10-07,12928.5703125,3419.43994140625,23422.8203125
2020-10-08,13042.2099609375,3446.830078125,23647.0703125
2020-10-09,13051.23046875,3477.139892578125,23619.689453125
2020-10-12,13138.41015625,3534.219970703125,23558.689453125
2020-10-13,13018.990234375,3511.929931640625,23601.779296875
2020-10-14,13028.0595703125,3488.669921875,23626.73046875
2020-10-15,12703.75,3483.340087890625,23507.23046875
2020-10-16,12908.990234375,3483.81005859375,23410.630859375
2020-10-19,12854.66015625,3426.919921875,23671.130859375
2020-10-20,12736.9501953125,3443.1201171875,23567.0390625
2020-10-21,12557.6396484375,3435.56005859375,23639.4609375
2020-10-22,12543.0595703125,3453.489990234375,23474.26953125
2020-10-23,12645.75,3465.389892578125,23516.58984375
2020-10-26,12177.1796875,3400.969970703125,23494.33984375
2020-10-27,12063.5703125,3390.679931640625,23485.80078125
2020-10-28,11560.509765625,3271.030029296875,23418.509765625
2020-10-29,11598.0703125,3310.110107421875,23331.939453125
2020-10-30,11556.48046875,3269.9599609375,22977.130859375
2020-11-02,11788.2802734375,3310.239990234375,23295.48046875
2020-11-03,12088.98046875,3369.159912109375,
2020-11-04,12324.2197265625,3443.43994140625,23695.23046875
2020-11-05,12568.08984375,3510.449951171875,24105.279296875
2020-11-06,12480.01953125,3509.43994140625,24325.23046875
2020-11-09,13095.9697265625,3550.5,24839.83984375
2020-11-10,13163.1103515625,3545.530029296875,24905.58984375
2020-11-11,13216.1796875,3572.659912109375,25349.599609375
2020-11-12,13052.9501953125,3537.010009765625,25520.880859375
2020-11-13,13076.7197265625,3585.14990234375,25385.869140625
2020-11-16,13138.6103515625,3626.909912109375,25906.9296875
2020-11-17,13133.4697265625,3609.530029296875,26014.619140625
2020-11-18,13201.8896484375,3567.7900390625,25728.140625
